"","Uniprot.Name","Gene"
"89","A0A075B6Z9","TRAJ24"
"90","TJA31","TRAJ31"
"91","A0A075B702","TRAJ41"
"92","A0A075B704","TRAJ57"
"93","TRDJ1","TRDJ1"
"94","A0A075B708","TRAJ61"
"95","A0A075B709","TRAJ13"
"96","A0A075B710","TRAJ39"
"97","A0A075B711","TRAJ29"
"98","A0A075B712","TRAJ54"
"99","A0A075B713","TRAJ1"
"100","A0A075B714","TRAJ7"
"101","A0A075B734","LOC100509620"
"102","PAL4E","PPIAL4E"
"103","PAL4H","PPIAL4H"
"104","A0A075B784","USP36"
"105","A0A075B7B6","IGHV4OR15-8"
"106","A0A075B7B8","IGHV3OR16-12"
"107","A0A075B7B9","IGHD2OR15-2B"
"108","A0A075B7D0","IGHV1OR15-1"
"109","A0A075B7D4","IGKV1OR2-108"
"110","A0A075B7D8","IGHV3OR15-7"
"111","A0A075B7E0","IGHD3OR15-3B"
"112","A0A075B7E8","IGHV3OR16-13"
"113","A0A075B7F0","IGHV3OR16-10"
"114","A0A075B7F1","IGHV3OR16-8"
"115","LV545","IGLV5-45"
"116","HV432","IGHV4-30-2"
"117","KVD15","IGKV3D-15"
"118","KVD08","IGKV1D-8"
"119","TVA30","TRAV30"
"120","TVA27","TRAV27"
"121","TVA92","TRAV9-2"
"122","TVAZ1","TRAV26-1"
"123","TM265","TMEM265"
"124","KCE1B","KCNE1B"
"125","A0A087WU04","TRAJ36"
"126","NBPFJ","NBPF19"
"127","A0A087WUV0","ENSG00000233757"
"128","SPEGN","SPEGNB"
"129","TVB16","TRBV16"
"130","TBC3D","TBC1D3D"
"131","A0A087WW49","ENSG00000278263"
"132","KV240","IGKV2-40"
"133","P3URF","P3R3URF"
"134","A0A087WWU0","ENSG00000278646"
"135","A0A087WWY9","RIN3"
"136","ELB3C","ELOA3C"
"137","MEIKN","MEIKIN"
"138","TBC3I","TBC1D3I"
"139","A0A087WYE8","IGHV1OR21-1"
"140","A0A087WZ39","TRBV15"
"141","A0A087WZJ7","ZNF254"
"142","A0A087X096","TRAJ37"
"143","A0A087X0K7","TRBV17"
"144","TVB18","TRBV18"
"145","TBC3E","TBC1D3E"
"146","A0A087X1A0","ZDHHC11B"
"147","A0A087X1C1","TMSB15B"
"148","CP2D7","CYP2D7"
"149","TBC3K","TBC1D3K"
"150","A0A087X1L8","LOC102723996"
"151","D131B","DEFB131B"
"152","A0A096LNW5","ENSG00000286106"
"153","SIM26","SMIM26"
"154","CC187","CCDC187"
"155","QCR6L","UQCRHL"
"156","A0A096LPG2","ENSG00000269167"
"157","A0A096LPH7","ENSG00000280433"
"158","GVQW2","CCDC28A-AS1"
"159","A0A096LPK6","ENSG00000279493"
"160","KVD26","IGKV2D-26"
"161","KVD11","IGKV3D-11"
"162","LV552","IGLV5-52"
"163","LV332","IGLV3-32"
"164","A0A0A0MS01","TRGV10"
"165","A0A0A0MS02","TRGV1"
"166","A0A0A0MS03","TRBV5-3"
"167","A0A0A0MS04","TRBV6-7"
"168","A0A0A0MS05","TRBV5-7"
"169","A0A0A0MS06","TRBV23-1"
"170","HV145","IGHV1-45"
"171","HV349","IGHV3-49"
"172","A0A0A0MS68","GAS7"
"173","KVD21","IGKV6D-21"
"174","A0A0A0MT69","IGKJ4"
"175","TJB26","TRBJ2-6"
"176","LJ01","IGLJ1"
"177","TJB27","TRBJ2-7"
"178","A0A0A0MT82","IGLJ2"
"179","A0A0A0MT84","TRGJP2"
"180","A0A0A0MT85","IGKJ2"
"181","A0A0A0MT86","IGLJ5"
"182","TJB24","TRBJ2-4"
"183","KJ01","IGKJ1"
"184","A0A0A0MT92","IGLJ7"
"185","A0A0A0MT93","IGLJ6"
"186","TJB22","TRBJ2-2"
"187","A0A0A0MT96","IGKJ3"
"188","A0A0A0MT97","TRGJP1"
"189","A0A0A0MT99","IGLJ3"
"190","A0A0A0MTA1","IGLJ4"
"191","A0A0A0MTA2","TRBJ2-2P"
"192","A0A0A0MTA3","IGKJ5"
"193","TJB25","TRBJ2-5"
"194","TJB21","TRBJ2-1"
"195","TVA14","TRAV14DV4"
"196","TVB13","TRBV13"
"197","TVB66","TRBV6-6"
"198","TVB68","TRBV6-8"
"199","TVA83","TRAV8-3"
"200","TVA81","TRAV8-1"
"201","A0A0A6YYK4","TRBV7-1"
"202","TVA16","TRAV16"
"203","TVA19","TRAV19"
"204","POTEB","POTEB"
"205","A0A0B4J1T7","LY6G6E"
"206","LV136","IGLV1-36"
"207","TRGV5","TRGV5"
"208","TVB9","TRBV9"
"209","HV601","IGHV6-1"
"210","HV315","IGHV3-15"
"211","HV321","IGHV3-21"
"212","HV226","IGHV2-26"
"213","HV373","IGHV3-73"
"214","HV781","IGHV7-81"
"215","A0A0B4J1W7","NPIPA9"
"216","HV374","IGHV3-74"
"217","HV343","IGHV3-43"
"218","LV949","IGLV9-49"
"219","HV372","IGHV3-72"
"220","KVD43","IGKV1D-43"
"221","TJB23","TRBJ2-3"
"222","TVA2","TRAV2"
"223","TVAM2","TRAV13-2"
"224","TVA82","TRAV8-2"
"225","TVA12","TRAV1-2"
"226","TVA10","TRAV10"
"227","TVAM1","TRAV13-1"
"228","TVA3","TRAV3"
"229","TVAL1","TRAV12-1"
"230","TVA11","TRAV1-1"
"231","TVA5","TRAV5"
"232","TVA86","TRAV8-6"
"233","TVA39","TRAV39"
"234","TV381","TRAV38-1"
"235","TVAZ2","TRAV26-2"
"236","TVA41","TRAV41"
"237","TVA4","TRAV4"
"238","TVAL3","TRAV12-3"
"239","TVA24","TRAV24"
"240","TVA34","TRAV34"
"241","TVA20","TRAV20"
"242","TVA17","TRAV17"
"243","TVA25","TRAV25"
"244","TVA22","TRAV22"
"245","TVA21","TRAV21"
"246","TVA40","TRAV40"
"247","PAL4C","PPIAL4C"
"248","A0A0B4J2B6","IGHV2OR16-5"
"249","A0A0B4J2B8","IGHV1OR15-9"
"250","GAL3B","GATD3B"
"251","KVD13","IGKV1D-13"
"252","TVBL4","TRBV12-4"
"253","A0A0B4J2E5","LOC102724159"
"254","PIOS1","PIGBOS1"
"255","SIK1B","SIK1B"
"256","HV69D","IGHV1-69D"
"257","A0A0C4DGP1","ENSG00000286075"
"258","KV621","IGKV6-21"
"259","KVD20","IGKV3D-20"
"260","KVD41","IGKV6D-41"
"261","TRGV8","TRGV8"
"262","TRGV4","TRGV4"
"263","HV103","IGHV1-3"
"264","HV316","IGHV3-16"
"265","HV118","IGHV1-18"
"266","HV320","IGHV3-20"
"267","HV124","IGHV1-24"
"268","HV428","IGHV4-28"
"269","HV335","IGHV3-35"
"270","HV338","IGHV3-38"
"271","HV551","IGHV5-51"
"272","HV158","IGHV1-58"
"273","HV461","IGHV4-61"
"274","HV366","IGHV3-66"
"275","HV70D","IGHV2-70D"
"276","KVD07","IGKV3D-7"
"277","TVB54","TRBV5-4"
"278","HJ01","IGHJ1"
"279","A0A0C4DH63","TRGJP"
"280","KV108","IGKV1-8"
"281","KV224","IGKV2-24"
"282","KV109","IGKV1-9"
"283","KV106","IGKV1-6"
"284","KV112","IGKV1-12"
"285","A0A0C4DH90","IGKV3OR2-268"
"286","MOTSC","MT-RNR1"
"287","CC163","CCDC163"
"288","A0A0G2JKD1","MUC21"
"289","A0A0G2JKW9","ENSG00000257215"
"290","A0A0G2JLE6","KRTAP4-8"
"291","A0A0G2JLG4","ASIC5"
"292","A0A0G2JLJ8","IGHD5OR15-5A"
"293","A0A0G2JLM5","ENSG00000274243"
"294","A0A0G2JLQ3","ENSG00000276676"
"295","A0A0G2JLW4","ENSG00000275049"
"296","PRA33","PRAMEF33"
"297","A0A0G2JMH3","LOC107984156"
"298","A0A0G2JMH6","HLA-DRA"
"299","HV692","IGHV1-69-2"
"300","A0A0G2JMM0","ENSG00000274971"
"301","A0A0G2JMP0","ENSG00000278776"
"302","A0A0G2JMS6","ENSG00000275428"
"303","A0A0G2JMY9","LILRA3"
"304","A0A0G2JMZ2","ENSG00000275621"
"305","A0A0G2JN01","KIR3DP1"
"306","A0A0G2JN53","ENSG00000282676"
"307","A0A0G2JN68","ENSG00000278414"
"308","A0A0G2JND7","ENSG00000274063"
"309","A0A0G2JNF4","KIR2DP1"
"310","A0A0G2JNG1","ENSG00000274563"
"311","A0A0G2JNH3","ENSG00000278178"
"312","A0A0G2JNJ9","ENSG00000276253"
"313","A0A0G2JNQ3","HNRNPCL2"
"314","A0A0G2JP03","ENSG00000277596"
"315","A0A0G2JP20","PRAMEF9"
"316","A0A0G2JPB7","ENSG00000275798"
"317","A0A0G2JPC4","ENSG00000274707"
"318","A0A0G2JPF8","HNRNPCL4"
"319","A0A0G2JPN4","ENSG00000278401"
"320","A0A0G2JQ47","ENSG00000275306"
"321","A0A0G2JQF1","ENSG00000280514"
"322","A0A0G2JQZ4","ENSG00000281757"
"323","A0A0G2JRQ6","ENSG00000281759"
"324","LV539","IGLV5-39"
"325","A0A0J9YVP2","IGHJ6"
"326","A0A0J9YVP9","IGHJ5"
"327","A0A0J9YVS3","IGHJ4"
"328","HV741","IGHV7-4-1"
"329","A0A0J9YW14","IGHJ3"
"330","A0A0J9YW22","IGHD3-9"
"331","A0A0J9YW62","ENSG00000282822"
"332","A0A0J9YWD0","IGHD3-3"
"333","TX13C","TEX13C"
"334","A0A0J9YWN2","IGHJ2"
"335","TJB13","TRBJ1-3"
"336","A0A0J9YWU9","ENSG00000278082"
"337","TJB16","TRBJ1-6"
"338","TJB12","TRBJ1-2"
"339","HV64D","IGHV3-64D"
"340","A0A0J9YX57","MAGEB6B"
"341","TVB69","TRBV6-9"
"342","PMA6F","PNMA6F"
"343","TJB11","TRBJ1-1"
"344","TJB14","TRBJ1-4"
"345","TJB15","TRBJ1-5"
"346","A0A0J9YXN1","IGHD3-10"
"347","PMA6E","PNMA6E"
"348","A0A0J9YXV3","LINC00514"
"349","HV5X1","IGHV5-10-1"
"350","TVB62","TRBV6-2"
"351","TX13D","TEX13D"
"352","A0A0J9YY99","ENSG00000282150"
"353","TVBJ1","TRBV10-1"
"354","TVB65","TRBV6-5"
"355","TVB30","TRBV30"
"356","TVBK1","TRBV11-1"
"357","TVB27","TRBV27"
"358","TVB61","TRBV6-1"
"359","TVB77","TRBV7-7"
"360","TVBJ3","TRBV10-3"
"361","TVBJ2","TRBV10-2"
"362","CD3CH","CD300H"
"363","A0A0M3HER8","GOLGA6L10"
"364","A0A0R4J2F4","IRAK4"
"365","A0A0U1RQB9","IGHD5-12"
"366","GLYLB","GLYATL1B"
"367","DP2NB","DPEP2NB"
"368","A0A0U1RQG5","ENSG00000277535"
"369","KLF18","KLF18"
"370","TM275","TMEM275"
"371","CENL1","CENPVL1"
"372","CA232","C1orf232"
"373","A0A0U1RRA0","ENSG00000236782"
"374","NBDY","NBDY"
"375","CENL3","CENPVL3"
"376","LBHD2","LBHD2"
"377","MMPOS","MMP24OS"
"378","SPTOS","SPTY2D1OS"
"379","A0A0X1KG70","ENSG00000182974"
"380","A0A126GWB0","OR2A2"
"381","A0A126GWI2","OR2A25"
"382","CRYA2","CRYAA2"
"383","A0A140T8X8","MUC21"
"384","A0A140TA62","ENSG00000262748"
"385","A0A140TA64","LOC100996750"
"386","A0A140TA67","KRTAP9-6"
"387","LCE6A","LCE6A"
"388","A0A191URJ7","KIR2DL1"
"389","A0A1B0GTB2","TUNAR"
"390","CC085","C3orf85"
"391","TEX49","TEX49"
"392","A0A1B0GTE1","CNTNAP3C"
"393","A0A1B0GTG1","IQANK1"
"394","A0A1B0GTG8","ENSG00000261341"
"395","CS2IP","CSNKA2IP"
"396","A0A1B0GTH9","LOC100505841"
"397","CC201","CCDC201"
"398","TM272","TMEM272"
"399","A0A1B0GTJ6","ENSG00000268655"
"400","F237A","FAM237A"
"401","F236D","FAM236D"
"402","CT204","C20orf204"
"403","A0A1B0GTQ1","CYP2D7"
"404","MYMX","MYMX"
"405","EDD13","EDDM13"
"406","CX05A","CXorf51A"
"407","SPRR5","SPRR5"
"408","HSFX4","HSFX4"
"409","ZC11B","ZC3H11B"
"410","CTXD1","CTXND1"
"411","LMLN2","LMLN2"
"412","TEX50","TEX50"
"413","CC196","CCDC196"
"414","SIM28","SMIM28"
"415","TEX53","TEX53"
"416","C97D2","CFAP97D2"
"417","SIM32","SMIM32"
"418","CC195","CCDC195"
"419","TEX51","TEX51"
"420","CM046","C13orf46"
"421","MYCOS","MYOCOS"
"422","BRDOS","BRD3OS"
"423","PNM8C","PNMA8C"
"424","A0A1B0GUL7","ENSG00000230626"
"425","F236A","FAM236A"
"426","CS085","C19orf85"
"427","UB2L5","UBE2L5"
"428","CJ143","C10orf143"
"429","CQ113","C17orf113"
"430","A0A1B0GUV1","ENSG00000262165"
"431","TEX48","TEX48"
"432","A0A1B0GUV8","LOC102723971"
"433","SPEM3","SPEM3"
"434","SIM27","SMIM27"
"435","VAFNB","ATP6V1FNB"
"436","MRCOL","MARCOL"
"437","A0A1B0GUZ9","ENSG00000284684"
"438","GG6L7","GOLGA6L7"
"439","A0A1B0GV05","RAP1GAP2"
"440","F236B","FAM236B"
"441","RELD1","REELD1"
"442","CTXD2","CTXND2"
"443","A0A1B0GV96","ENSG00000277639"
"444","A0A1B0GVB3","ENSG00000226690"
"445","F237B","FAM237B"
"446","CC194","CCDC194"
"447","TEX54","TEX54"
"448","PRS51","PRSS51"
"449","CM042","C13orf42"
"450","IQCM","IQCM"
"451","F240A","FAM240A"
"452","A0A1B0GVL6","TMEM238L"
"453","A0A1B0GVM2","TCAF2C"
"454","ETDC","ETDC"
"455","CK097","C11orf97"
"456","CB092","C2orf92"
"457","SPAR","SPAAR"
"458","CC200","CCDC200"
"459","F240C","FAM240C"
"460","MDFI2","MDFIC2"
"461","SIM36","SMIM36"
"462","SIM35","SMIM35"
"463","LITAD","LITAFD"
"464","A0A1B0GVY2","ENSG00000283536"
"465","SIM31","SMIM31"
"466","F240B","FAM240B"
"467","MB3LB","MBD3L2B"
"468","TM269","TMEM269"
"469","A0A1B0GW15","ENSG00000283205"
"470","EXC1L","EXOC1L"
"471","SIM39","SMIM39"
"472","A0A1B0GW55","ENSG00000284298"
"473","SIM33","SMIM33"
"474","PRT1B","PRRT1B"
"475","SRTM2","SERTM2"
"476","HSFX3","HSFX3"
"477","A0A1B0GWH6","LINC00672"
"478","A0A1B0GWI6","LOC101059915"
"479","PVLEF","PVALEF"
"480","TVB76","TRBV7-6"
"481","TVB64","TRBV6-4"
"482","TVB78","TRBV7-8"
"483","TRDV1","TRDV1"
"484","TVB2","TRBV2"
"485","TVBL5","TRBV12-5"
"486","TVB74","TRBV7-4"
"487","TVB72","TRBV7-2"
"488","A0A1W2PN81","CHRNA7"
"489","A0A1W2PNU3","ENSG00000284526"
"490","A0A1W2PP81","TAF11L7"
"491","THSD8","THSD8"
"492","A0A1W2PPD8","KDM4F"
"493","A0A1W2PPE2","TAF11L4"
"494","A0A1W2PPE3","ENSG00000284188"
"495","DUXB","DUXB"
"496","GBG14","GNG14"
"497","A0A1W2PPH5","TAF11L13"
"498","A0A1W2PPK0","ENSG00000284484"
"499","A0A1W2PPL8","TAF11L14"
"500","A0A1W2PPM0","ENSG00000283963"
"501","CPHXL","CPHXL"
"502","A0A1W2PPW3","TAF11L12"
"503","A0A1W2PQ09","TAF11L11"
"504","A0A1W2PQ27","SSU72P7"
"505","A0A1W2PQ64","SSU72P5"
"506","A0A1W2PQ72","HSPA14"
"507","ERFL","ERFL"
"508","A0A1W2PQC6","SSU72P4"
"509","A0A1W2PQD8","SSU72P2"
"510","A0A1W2PQF6","ENSG00000283763"
"511","A0A1W2PQJ5","SSU72P3"
"512","A0A1W2PQL4","ENSG00000241149"
"513","A0A1W2PQM1","ENSG00000284244"
"514","A0A1W2PQU2","KANTR"
"515","GSTT4","GSTT4"
"516","TLE7","TLE7"
"517","A0A1W2PR64","TAF11L9"
"518","A0A1W2PR75","SSU72P8"
"519","A0A1W2PR80","ENSG00000284434"
"520","PERC1","PERCC1"
"521","A0A1W2PR95","ENSG00000266826"
"522","A0A1W2PRE2","ENSG00000284476"
"523","A0A1W2PRG0","ENSG00000281310"
"524","A0A1W2PRN1","ENSG00000288148"
"525","A0A1W2PRN6","LINC02218"
"526","FOXL3","FOXL3"
"527","A0A1W2PRS3","ENSG00000284169"
"528","A0A1W2PRV1","TAF11L3"
"529","PMIS2","PMIS2"
"530","A0A1Y8EI39","IGHD6-13"
"531","A0A1Y8EKQ5","IGHD6-19"
"532","A0A286YEU6","ENSG00000180042"
"533","SCGR4","SCYGR4"
"534","SCGRX","SCYGR10"
"535","SCGR1","SCYGR1"
"536","SCGR7","SCYGR7"
"537","A0A286YF18","ENSG00000284638"
"538","SCGR5","SCYGR5"
"539","TM271","TMEM271"
"540","SCGR3","SCYGR3"
"541","SCGR6","SCYGR6"
"542","SCGR2","SCYGR2"
"543","SCGR8","SCYGR8"
"544","SIM38","SMIM38"
"545","A0A2R8Y2Y2","ENSG00000226490"
"546","A0A2R8Y422","ENSG00000231767"
"547","A0A2R8Y4L2","HNRNPA1P48"
"548","A0A2R8Y4L6","OR5D3P"
"549","A0A2R8Y4M4","ENSG00000284976"
"550","OSP4B","OOSP4B"
"551","A0A2R8Y556","ENSG00000284895"
"552","A0A2R8Y5M8","ENSG00000284844"
"553","H2BE1","H2BE1"
"554","A0A2R8Y747","ENSG00000284779"
"555","A0A2R8Y7D0","TINCR"
"556","A0A2R8Y7Y5","ENSG00000284797"
"557","A0A2R8YCE0","B3GNT10"
"558","SIM41","SMIM41"
"559","A0A2R8YCY7","ENSG00000284555"
"560","A0A2R8YD15","ENSG00000285133"
"561","A0A2R8YE69","ENSG00000284912"
"562","A0A2R8YED5","OR5BS1P"
"563","A0A2R8YEG4","OR2A1"
"564","A0A2R8YEH3","LOC112268384"
"565","A0A2R8YEV3","OR2A42"
"566","OSP4A","OOSP4A"
"567","OOSP3","OOSP3"
"568","A0A2R8YFR7","ENSG00000285408"
"569","A0A2U3TZU4","OR4Q3"
"570","FXO3B","FOXO3B"
"571","A0A376A8Z9","KIR2DS5"
"572","A0A3B3IRQ3","LOC112267897"
"573","A0A3B3IRS2","LOC647264"
"574","A0A3B3IRV3","MCTS2P"
"575","A0A3B3IT33","TRIM51GP"
"576","A0A3B3IT34","ENSG00000285946"
"577","A0A3B3IT45","OR51C1P"
"578","A0A3B3IT52","LOC102724657"
"579","A0A3B3IU46","RAMACL"
"580","A0A3B3IU63","H2AL1RP"
"581","A0A494BZU2","BLACAT1"
"582","A0A494BZU4","TMEM217"
"583","A0A494BZZ5","ENSG00000170152"
"584","A0A494C030","LOC114841035"
"585","A0A494C071","ENSG00000278803"
"586","A0A494C086","SPDYE21"
"587","A0A494C0B9","ENSG00000285938"
"588","A0A494C0I6","ENSG00000286224"
"589","A0A494C0N9","ENSG00000286175"
"590","A0A494C0T7","LOC149373"
"591","A0A494C0Y3","ENSG00000286102"
"592","A0A494C0Z2","ENSG00000286014"
"593","A0A494C103","LOC112577516"
"594","A0A494C162","ENSG00000275493"
"595","A0A494C176","ENSG00000286131"
"596","A0A494C193","ENSG00000204805"
"597","A0A494C1I1","LOC728392"
"598","A0A494C1N4","ENSG00000286265"
"599","A0A494C1R9","TSPY9P"
"600","A0A499FJF3","ENSG00000282168"
"601","A0A4W9AIG4","OR2A14"
"602","TVB42","TRBV4-2"
"603","TVB31","TRBV3-1"
"604","TVB41","TRBV4-1"
"605","TVB51","TRBV5-1"
"606","TVBK2","TRBV11-2"
"607","TVB43","TRBV4-3"
"608","A0A590UJ96","ENSG00000282936"
"609","A0A590UK24","ENSG00000287585"
"610","A0A590UK83","LINC00634"
"611","TVB55","TRBV5-5"
"612","TVB56","TRBV5-6"
"613","TVB58","TRBV5-8"
"614","TVBK3","TRBV11-3"
"615","TVB14","TRBV14"
"616","TVB28","TRBV28"
"617","TVB29","TRBV29-1"
"618","TRBC2","TRBC2"
"619","A0A5F9Z9Y6","ENSG00000283716"
"620","A0A5F9ZGZ6","ENSG00000288136"
"621","A0A5F9ZH02","ENSG00000288460"
"622","A0A5F9ZH88","ENSG00000288316"
"623","A0A5F9ZHI8","ENSG00000263264"
"624","A0A5F9ZHS0","ENSG00000285976"
"625","NFILZ","NFILZ"
"626","A0A5F9ZHU2","ENSG00000288396"
"627","A0A5H1ZRR4","TRGJ2"
"628","A0A5K1VDZ0","LOC112267881"
"629","A0A5S8K742","GLRA4"
"630","A0A669KAW2","ENSG00000288529"
"631","A0A669KB04","SPDYE17"
"632","A0A669KB60","ENSG00000288570"
"633","KAL1L","KANSL1L"
"634","S12A8","SLC12A8"
"635","RBM47","RBM47"
"636","IFT56","TTC26"
"637","FR1L5","FER1L5"
"638","TM129","TMEM129"
"639","E2F8","E2F8"
"640","UBA6","UBA6"
"641","ESYT2","ESYT2"
"642","ESYT3","ESYT3"
"643","TV382","TRAV38-2DV8"
"644","TRDV2","TRDV2"
"645","TRDV3","TRDV3"
"646","MED19","MED19"
"647","UH1BL","UHRF1BP1L"
"648","POTB3","POTEB3"
"649","IGLC7","IGLC7"
"650","SHOT1","SHTN1"
"651","A0N4X2","TRAJ40"
"652","A0N4X5","TRAJ34"
"653","A0N4Z3","TRAJ14"
"654","A0N4Z7","TRAJ10"
"655","A0N4Z8","TRAJ9"
"656","PLS5","PLSCR5"
"657","DHR12","DHRS12"
"658","SC5AA","SLC5A10"
"659","TM223","TMEM223"
"660","DAPL1","DAPL1"
"661","CIB4","CIB4"
"662","TLDC2","TLDC2"
"663","SHSA3","SHISA3"
"664","TMM82","TMEM82"
"665","FEZF1","FEZF1"
"666","A20A5","ANKRD20A5P"
"667","GXLT2","GXYLT2"
"668","T120B","TMEM120B"
"669","TMM72","TMEM72"
"670","CLRN2","CLRN2"
"671","CC50C","TMEM30CP"
"672","S66AL","SLC66A1L"
"673","LNP1","LNP1"
"674","RHG10","ARHGAP10"
"675","CC189","CCDC189"
"676","IRGM","IRGM"
"677","F170A","FAM170A"
"678","KR231","KRTAP23-1"
"679","ANO9","ANO9"
"680","S22AN","SLC22A23"
"681","BICL2","BICDL2"
"682","ODAM","ODAM"
"683","ARH37","ARHGEF37"
"684","F168B","FAM168B"
"685","PXDNL","PXDNL"
"686","MEX3A","MEX3A"
"687","HACL2","ILVBL"
"688","TSN11","TSPAN11"
"689","ERIC2","ERICH2"
"690","U2QL1","UBE2QL1"
"691","CT202","C20orf202"
"692","CA226","C1orf226"
"693","NDUF8","NDUFAF8"
"694","SYCE3","SYCE3"
"695","IGS23","IGSF23"
"696","PKHG3","PLEKHG3"
"697","ELOV7","ELOVL7"
"698","MT1DP","MT1DP"
"699","GG12C","GAGE12C"
"700","NTM2F","NUTM2F"
"701","PRS38","PRSS38"
"702","SRCRL","SSC5D"
"703","FSD2","FSD2"
"704","PL8L1","PLAC8L1"
"705","YK033","-"
"706","SPD2B","SH3PXD2B"
"707","FA92A","FAM92A"
"708","ZBT7C","ZBTB7C"
"709","MACD2","MACROD2"
"710","ZC12D","ZC3H12D"
"711","SRTM1","SERTM1"
"712","FRMD3","FRMD3"
"713","AN18B","ANKRD18B"
"714","MAGBG","MAGEB16"
"715","PTPC1","PTPDC1"
"716","TTC24","TTC24"
"717","PIPSL","PIPSL"
"718","BCLA3","BCLAF3"
"719","DYTN","DYTN"
"720","CCD78","CCDC78"
"721","KV229","IGKV2-29"
"722","HFM1","HFM1"
"723","ZN320","ZNF320"
"724","WDR27","WDR27"
"725","TM213","TMEM213"
"726","NBAS","NBAS"
"727","SYTC2","TARS3"
"728","HEAT9","HEATR9"
"729","TM218","TMEM218"
"730","TESP1","TESPA1"
"731","CI170","LINC02872"
"732","SMCO3","SMCO3"
"733","HYKK","HYKK"
"734","HMX2","HMX2"
"735","F234B","FAM234B"
"736","MEIOC","MEIOC"
"737","CCD66","CCDC66"
"738","TYW5","TYW5"
"739","XKRY2","XKRY2"
"740","MBPHL","MYBPHL"
"741","CQ102","C17orf102"
"742","C144A","CCDC144A"
"743","DEND3","DENND3"
"744","TMM89","TMEM89"
"745","COLL1","CLPSL1"
"746","DCD2B","DCDC2B"
"747","FUCM","FUOM"
"748","T131L","TMEM131L"
"749","SSPO","SSPOP"
"750","OR2M5","OR2M5"
"751","VWA8","VWA8"
"752","A3KN74","GPX6"
"753","SBNO1","SBNO1"
"754","PRA22","PRAMEF22"
"755","PRA27","PRAMEF27"
"756","LAMB4","LAMB4"
"757","CG066","C7orf66"
"758","SIM30","SMIM30"
"759","CPED1","CPED1"
"760","CG077","C7orf77"
"761","ISPD","CRPPA"
